acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    1.3400000334e-01,   -2.6700208664e+01,   -2.7969800949e+01,   -1.3516635895e+01,   -1.5425957680e+01,
    1.3699999452e-01,   -1.4334440231e+01,   -1.5823122978e+01,   -1.3906113625e+01,   -1.5644054413e+01,
    1.3899999857e-01,   -6.5637698174e+00,   -7.8969078064e+00,   -1.6158542633e+01,   -1.7391868591e+01,
    1.4200000465e-01,    1.0033751726e+00,    5.4764538072e-03,   -1.9038732529e+01,   -1.9525997162e+01,
    1.4399999380e-01,    2.2803435326e+00,    1.3607337475e+00,   -1.8559700012e+01,   -1.8891637802e+01,
    1.4699999988e-01,   -1.4839662313e+00,   -2.6413989067e+00,   -1.4043156624e+01,   -1.4822034836e+01,
    1.4900000393e-01,   -6.8843264580e+00,   -8.3788938522e+00,   -1.0079378128e+01,   -1.1474334717e+01,
    1.5199999511e-01,   -1.6793424606e+01,   -1.8854711533e+01,   -5.7118077278e+00,   -8.1218109131e+00,
    1.5399999917e-01,   -2.3167829514e+01,   -2.5518457413e+01,   -5.4101138115e+00,   -8.3268356323e+00,
    1.5700000525e-01,   -3.0843677521e+01,   -3.3357921600e+01,   -1.0531344414e+01,   -1.3698062897e+01,
    1.5899999440e-01,   -3.4393306732e+01,   -3.6829620361e+01,   -1.7479053497e+01,   -2.0454483032e+01,
    1.6200000048e-01,   -3.7535385132e+01,   -3.9701187134e+01,   -2.9990154266e+01,   -3.2379493713e+01,
    1.6400000453e-01,   -3.8478893280e+01,   -4.0466175079e+01,   -3.6910243988e+01,   -3.8921451569e+01,
    1.6699999571e-01,   -3.9169456482e+01,   -4.0971733093e+01,   -4.2496589661e+01,   -4.4159786224e+01,
    1.6899999976e-01,   -3.9863426208e+01,   -4.1573982239e+01,   -4.3405895233e+01,   -4.4963226318e+01,
    1.7200000584e-01,   -4.2000305176e+01,   -4.3559772491e+01,   -4.2394752502e+01,   -4.3876617432e+01,
    1.7399999499e-01,   -4.3830772400e+01,   -4.5280376434e+01,   -4.0470458984e+01,   -4.1942184448e+01,
    1.7700000107e-01,   -4.5784942627e+01,   -4.7068290710e+01,   -3.6224475861e+01,   -3.7707935333e+01,
    1.7900000513e-01,   -4.5927772522e+01,   -4.7068534851e+01,   -3.4174663544e+01,   -3.5577507019e+01,
    1.8199999630e-01,   -4.3989727020e+01,   -4.4830902100e+01,   -3.5001712799e+01,   -3.6005493164e+01,
    1.8400000036e-01,   -4.1371017456e+01,   -4.1993480682e+01,   -3.7978378296e+01,   -3.8581932068e+01,
    1.8700000644e-01,   -3.6246082306e+01,   -3.6653327942e+01,   -4.3342910767e+01,   -4.3413806915e+01,
    1.8899999559e-01,   -3.2713623047e+01,   -3.3133716583e+01,   -4.5472373962e+01,   -4.5408332825e+01,
    1.9200000167e-01,   -2.8489625931e+01,   -2.9187553406e+01,   -4.4914199829e+01,   -4.5085189819e+01,
    1.9400000572e-01,   -2.6938074112e+01,   -2.7930757523e+01,   -4.2384094238e+01,   -4.2934223175e+01,
