acc                                                         
time,z_acceleration @ 15934119,z_acceleration @ 15935261,z_acceleration @ 15937105,z_acceleration @ 15939050,
    1.1699999869e-01,    1.3763424072e+03,    1.9018349609e+03,   -2.9089948730e+03,   -2.2274919434e+03,
    1.1900000274e-01,    3.3726583862e+02,    7.5476452637e+02,   -1.7853709717e+03,   -1.2876774902e+03,
    1.2200000137e-01,   -9.8682299805e+02,   -8.2290136719e+02,    4.2880523682e+02,    5.4037109375e+02,
    1.2399999797e-01,   -1.8725458984e+03,   -2.0050308838e+03,    2.5801259766e+03,    2.2765195312e+03,
    1.2700000405e-01,   -1.7571978760e+03,   -2.1207924805e+03,    3.6355556641e+03,    3.0566010742e+03,
    1.2899999321e-01,   -6.2839208984e+02,   -1.0964218750e+03,    3.5142260742e+03,    2.8670761719e+03,
    1.3199999928e-01,    1.2660364990e+03,    8.4645916748e+02,    2.5576379395e+03,    2.0568076172e+03,
    1.3400000334e-01,    3.1448933105e+03,    2.8770458984e+03,    1.2609847412e+03,    1.0274967041e+03,
    1.3699999452e-01,    4.1219233398e+03,    4.0488928223e+03,   -1.2982577515e+02,   -7.2698959351e+01,
    1.3899999857e-01,    3.8853352051e+03,    3.9631074219e+03,   -1.1262143555e+03,   -8.7390722656e+02,
    1.4200000465e-01,    2.5223818359e+03,    2.6341281738e+03,   -9.6006311035e+02,   -7.1137609863e+02,
    1.4399999380e-01,    6.3848413086e+02,    6.7762854004e+02,    2.3951609802e+02,    3.1717950439e+02,
    1.4699999988e-01,   -1.2547701416e+03,   -1.3340443115e+03,    1.5055145264e+03,    1.3565344238e+03,
    1.4900000393e-01,   -2.7001804199e+03,   -2.8687475586e+03,    1.9818891602e+03,    1.6738498535e+03,
    1.5199999511e-01,   -3.3030327148e+03,   -3.4919394531e+03,    1.4558565674e+03,    1.1175079346e+03,
    1.5399999917e-01,   -3.1872036133e+03,   -3.3318732910e+03,    1.5084671021e+02,   -1.0251271820e+02,
    1.5700000525e-01,   -2.5586159668e+03,   -2.6131547852e+03,   -1.7070770264e+03,   -1.7904089355e+03,
    1.5899999440e-01,   -1.7748148193e+03,   -1.7358488770e+03,   -3.4738544922e+03,   -3.3782106934e+03,
    1.6200000048e-01,   -1.0473593750e+03,   -9.5718939209e+02,   -4.1703666992e+03,   -3.9750029297e+03,
    1.6400000453e-01,   -4.7175457764e+02,   -3.8249478149e+02,   -3.4600456543e+03,   -3.2709787598e+03,
    1.6699999571e-01,   -2.3018777466e+02,   -1.6851959229e+02,   -1.8621148682e+03,   -1.7461121826e+03,
    1.6899999976e-01,   -3.4698483276e+02,   -3.0112408447e+02,   -4.5465280151e+02,   -4.0172033691e+02,
    1.7200000584e-01,   -7.1229333496e+02,   -6.6193096924e+02,    3.3704736328e+02,    3.6220358276e+02,
    1.7399999499e-01,   -9.1523431396e+02,   -8.6030126953e+02,    9.6214660645e+02,    9.6721466064e+02,
    1.7700000107e-01,   -6.5139013672e+02,   -5.9597198486e+02,    1.4153281250e+03,    1.4114165039e+03,
    1.7900000513e-01,   -7.1415069580e+01,   -1.2279040366e-01,    1.0249057617e+03,    1.0652143555e+03,
