acc                                                         
time,z_velocity @ 7661001,z_velocity @ 7661002,z_velocity @ 7661003,z_velocity @ 7661004,
    1.1900000274e-01,   -6.0863975525e+01,   -6.1147281647e+01,   -9.1901521683e+00,   -8.1845302582e+00,
    1.2200000137e-01,   -5.6321197510e+01,   -5.7211532593e+01,   -1.4227991104e+01,   -1.2565911293e+01,
    1.2399999797e-01,   -4.5874675751e+01,   -4.7129489899e+01,   -2.3091360092e+01,   -2.1289854050e+01,
    1.2700000405e-01,   -2.5969381332e+01,   -2.7494466782e+01,   -3.7887470245e+01,   -3.6343166351e+01,
    1.2899999321e-01,   -1.4626727104e+01,   -1.6070468903e+01,   -4.4074039459e+01,   -4.2931327820e+01,
    1.3199999928e-01,   -5.4679055214e+00,   -6.4265708923e+00,   -4.2584598541e+01,   -4.2158985138e+01,
    1.3400000334e-01,   -5.4866662025e+00,   -5.9721684456e+00,   -3.4015541077e+01,   -3.4004577637e+01,
    1.3699999452e-01,   -1.3455218315e+01,   -1.3205271721e+01,   -1.3942366600e+01,   -1.4312451363e+01,
    1.3899999857e-01,   -2.1451084137e+01,   -2.0804241180e+01,   -1.2283616513e-01,   -5.8187174797e-01,
    1.4200000465e-01,   -3.0195249557e+01,   -2.9243558884e+01,    1.3725172997e+01,    1.3284901619e+01,
    1.4399999380e-01,   -3.0121622086e+01,   -2.9192865372e+01,    1.5442588806e+01,    1.5034054756e+01,
    1.4699999988e-01,   -2.0975177765e+01,   -2.0326772690e+01,    6.5539855957e+00,    6.1161689758e+00,
    1.4900000393e-01,   -1.1890260696e+01,   -1.1477972031e+01,   -4.6420521736e+00,   -5.1766157150e+00,
    1.5199999511e-01,    5.8455128223e-02,    2.3464465141e-01,   -2.3480148315e+01,   -2.4264863968e+01,
    1.5399999917e-01,    3.6742188931e+00,    3.8551285267e+00,   -3.4152309418e+01,   -3.5149726868e+01,
    1.5700000525e-01,   -8.3176183701e-01,   -3.3607804775e-01,   -4.3849391937e+01,   -4.5196220398e+01,
    1.5899999440e-01,   -1.0290295601e+01,   -9.4080314636e+00,   -4.5700294495e+01,   -4.7279197693e+01,
    1.6200000048e-01,   -2.8903625488e+01,   -2.7354745865e+01,   -4.3699581146e+01,   -4.5585643768e+01,
    1.6400000453e-01,   -3.9593753815e+01,   -3.7688144684e+01,   -4.1313789368e+01,   -4.3346191406e+01,
    1.6699999571e-01,   -4.8196556091e+01,   -4.6068088531e+01,   -3.9304534912e+01,   -4.1409759521e+01,
    1.6899999976e-01,   -4.9150386810e+01,   -4.7104061127e+01,   -3.9919269562e+01,   -4.1954185486e+01,
    1.7200000584e-01,   -4.5937347412e+01,   -4.4289417267e+01,   -4.3865669250e+01,   -4.5628143311e+01,
    1.7399999499e-01,   -4.1463657379e+01,   -4.0200424194e+01,   -4.7798606873e+01,   -4.9299308777e+01,
    1.7700000107e-01,   -3.2983604431e+01,   -3.2325958252e+01,   -5.3122138977e+01,   -5.4187446594e+01,
    1.7900000513e-01,   -2.9242401123e+01,   -2.8884141922e+01,   -5.4298069000e+01,   -5.5094570160e+01,
    1.8199999630e-01,   -3.1130987167e+01,   -3.0913835526e+01,   -5.0277050018e+01,   -5.0770114899e+01,
    1.8400000036e-01,   -3.7074550629e+01,   -3.6753166199e+01,   -4.4049716949e+01,   -4.4426742554e+01,
    1.8700000644e-01,   -4.8239574432e+01,   -4.7609962463e+01,   -3.2331260681e+01,   -3.2666206360e+01,
    1.8899999559e-01,   -5.3541297913e+01,   -5.2722091675e+01,   -2.5258663177e+01,   -2.5638845444e+01,
    1.9200000167e-01,   -5.5010200500e+01,   -5.4071205139e+01,   -1.8706108093e+01,   -1.9217420578e+01,
    1.9400000572e-01,   -5.1852550507e+01,   -5.0973773956e+01,   -1.7706443787e+01,   -1.8309579849e+01,
    1.9699999690e-01,   -4.2570217133e+01,   -4.1982284546e+01,   -2.0336797714e+01,   -2.1011646271e+01,
    1.9900000095e-01,   -3.4779705048e+01,   -3.4480506897e+01,   -2.3302457809e+01,   -2.3946989059e+01,
    2.0200000703e-01,   -2.4655952454e+01,   -2.4794500351e+01,   -2.6278259277e+01,   -2.6752851486e+01,
    2.0399999619e-01,   -2.1142953873e+01,   -2.1482095718e+01,   -2.5801830292e+01,   -2.6113313675e+01,
    2.0700000226e-01,   -2.1720079422e+01,   -2.2114036560e+01,   -2.0926811218e+01,   -2.1024984360e+01,
    2.0900000632e-01,   -2.4904981613e+01,   -2.5155311584e+01,   -1.5828246117e+01,   -1.5875364304e+01,
    2.1199999750e-01,   -3.0187292099e+01,   -3.0017246246e+01,   -8.3379774094e+00,   -8.5225048065e+00,
    2.1400000155e-01,   -3.1574697495e+01,   -3.1068204880e+01,   -5.4364500046e+00,   -5.8582239151e+00,
    2.1699999273e-01,   -2.7995683670e+01,   -2.7046707153e+01,   -6.1969251633e+00,   -7.1167097092e+00,
    2.1899999678e-01,   -2.1971300125e+01,   -2.0829221725e+01,   -9.8459625244e+00,   -1.1114633560e+01,
    2.2200000286e-01,   -1.0468513489e+01,   -9.2215604782e+00,   -1.7367809296e+01,   -1.9033958435e+01,
    2.2400000691e-01,   -3.7202045918e+00,   -2.5106205940e+00,   -2.1469821930e+01,   -2.3239154816e+01,
    2.2699999809e-01,    1.8744723797e+00,    2.9106626511e+00,   -2.3118927002e+01,   -2.4726020813e+01,
    2.2900000215e-01,    2.2660362720e+00,    3.1284584999e+00,   -2.0512409210e+01,   -2.1803714752e+01,
    2.3199999332e-01,   -3.8717666268e-01,    1.5507972240e-01,   -1.2389602661e+01,   -1.2992489815e+01,
    2.3399999738e-01,   -2.8126335144e+00,   -2.5010449886e+00,   -6.0604171753e+00,   -6.1579256058e+00,
    2.3700000346e-01,   -5.4443836212e+00,   -5.4476847649e+00,    1.3497730494e+00,    1.8953920603e+00,
    2.3899999261e-01,   -5.9822335243e+00,   -6.1388206482e+00,    3.5044527054e+00,    4.3144249916e+00,
    2.4199999869e-01,   -4.6441202164e+00,   -4.9135994911e+00,    2.2179315090e+00,    3.1162328720e+00,
    2.4400000274e-01,   -2.3471093178e+00,   -2.6221833229e+00,   -6.8748670816e-01,    9.0952545404e-02,
    2.4699999392e-01,    2.1123631001e+00,    1.8958377838e+00,   -5.2854528427e+00,   -4.8299956322e+00,
    2.4899999797e-01,    4.5508160591e+00,    4.3924617767e+00,   -6.7568507195e+00,   -6.5180196762e+00,
    2.5200000405e-01,    5.5305600166e+00,    5.4453997612e+00,   -4.8722639084e+00,   -4.8242416382e+00,
    2.5400000811e-01,    3.8188848495e+00,    3.7520205975e+00,   -9.6302205324e-01,   -9.0854752064e-01,
    2.5699999928e-01,   -2.0597491264e+00,   -2.1711783409e+00,    7.2003273964e+00,    7.4698333740e+00,
    2.5900000334e-01,   -7.2277927399e+00,   -7.4272861481e+00,    1.2649104118e+01,    1.3165300369e+01,
    2.6199999452e-01,   -1.4151690483e+01,   -1.4577740669e+01,    1.8372367859e+01,    1.9319423676e+01,
    2.6399999857e-01,   -1.6560407639e+01,   -1.7191963196e+01,    1.9585697174e+01,    2.0797079086e+01,
    2.6699998975e-01,   -1.5268752098e+01,   -1.6238809586e+01,    1.7161373138e+01,    1.8633972168e+01,
    2.6899999380e-01,   -1.1240732193e+01,   -1.2406908035e+01,    1.3175260544e+01,    1.4685731888e+01,
    2.7200001478e-01,   -2.4919669628e+00,   -3.8118607998e+00,    5.2323212624e+00,    6.5608105659e+00,
    2.7399998903e-01,    3.3350167274e+00,    2.0497348309e+00,   -2.7022081614e-01,    7.8958278894e-01,
    2.7700001001e-01,    9.2531852722e+00,    8.2421150208e+00,   -7.0154376030e+00,   -6.5011458397e+00,
    2.7900001407e-01,    1.0355851173e+01,    9.6468353271e+00,   -9.6224746704e+00,   -9.4971389771e+00,
    2.8200000525e-01,    7.6226744652e+00,    7.4444708824e+00,   -9.8211231232e+00,   -1.0189695358e+01,
    2.8400000930e-01,    3.6995549202e+00,    3.8526093960e+00,   -7.4132385254e+00,   -7.9901595116e+00,
    2.8700000048e-01,   -2.5696842670e+00,   -2.0802512169e+00,   -9.5632928610e-01,   -1.6084781885e+00,
    2.8900000453e-01,   -5.1307086945e+00,   -4.5793385506e+00,    4.2543506622e+00,    3.7111954689e+00,
    2.9199999571e-01,   -4.5993838310e+00,   -4.2255997658e+00,    1.1539465904e+01,    1.1352035522e+01,
    2.9399999976e-01,   -1.4700855017e+00,   -1.3641898632e+00,    1.5227468491e+01,    1.5359593391e+01,
    2.9699999094e-01,    5.4145674706e+00,    5.0107359886e+00,    1.8549365997e+01,    1.9188173294e+01,
    2.9899999499e-01,    9.9605779648e+00,    9.2278127670e+00,    1.9511657715e+01,    2.0449174881e+01,
    3.0199998617e-01,    1.5325709343e+01,    1.4233029366e+01,    1.9856073380e+01,    2.1095226288e+01,
    3.0399999022e-01,    1.7607215881e+01,    1.6410007477e+01,    1.9761299133e+01,    2.1065448761e+01,
    3.0700001121e-01,    1.8510263443e+01,    1.7399229050e+01,    1.9546297073e+01,    2.0714439392e+01,
    3.0899998546e-01,    1.7316892624e+01,    1.6416179657e+01,    1.9336215973e+01,    2.0268375397e+01,
    3.1200000644e-01,    1.3723801613e+01,    1.3284153938e+01,    1.8672145844e+01,    1.9105905533e+01,
    3.1400001049e-01,    1.1052607536e+01,    1.0941920280e+01,    1.7964591980e+01,    1.8039730072e+01,
    3.1700000167e-01,    7.5974149704e+00,    7.8873782158e+00,    1.6972780228e+01,    1.6609794617e+01,
    3.1900000572e-01,    5.5594544411e+00,    6.0043339729e+00,    1.6929492950e+01,    1.6414903641e+01,
    3.2199999690e-01,    2.3215637207e+00,    2.7934134007e+00,    1.8429321289e+01,    1.7970420837e+01,
    3.2400000095e-01,    1.1704221368e-01,    4.7203469276e-01,    2.0340085983e+01,    2.0104446411e+01,
    3.2699999213e-01,   -2.4512481689e+00,   -2.4298102856e+00,    2.3316328049e+01,    2.3609544754e+01,
    3.2899999619e-01,   -3.1839358807e+00,   -3.4412596226e+00,    2.4246431351e+01,    2.4934900284e+01,
    3.3199998736e-01,   -2.3482570648e+00,   -2.9996716976e+00,    2.2391958237e+01,    2.3566963196e+01,
    3.3399999142e-01,   -2.3789380491e-01,   -1.0766344070e+00,    1.8416011810e+01,    1.9755556107e+01,
    3.3700001240e-01,    4.9798874855e+00,    4.0540466309e+00,    8.8099508286e+00,    1.0066610336e+01,
    3.3899998665e-01,    8.9357709885e+00,    8.1117630005e+00,    1.0301482677e+00,    2.0065214634e+00,
    3.4200000763e-01,    1.3493419647e+01,    1.3064565659e+01,   -1.0082994461e+01,   -9.7876853943e+00,
    3.4400001168e-01,    1.4721270561e+01,    1.4681166649e+01,   -1.5540640831e+01,   -1.5787696838e+01,
    3.4700000286e-01,    1.3402921677e+01,    1.4016848564e+01,   -1.8985036850e+01,   -2.0000282288e+01,
    3.4900000691e-01,    1.0784296036e+01,    1.1797675133e+01,   -1.7746992111e+01,   -1.9144906998e+01,
    3.5199999809e-01,    5.4720711708e+00,    6.9001860619e+00,   -1.1441291809e+01,   -1.3101277351e+01,
    3.5400000215e-01,    1.6707000732e+00,    3.2054176331e+00,   -5.3798937798e+00,   -6.9815707207e+00,
    3.5699999332e-01,   -2.9841830730e+00,   -1.5695489645e+00,    3.9494676590e+00,    2.7447617054e+00,
    3.5899999738e-01,   -4.1677966118e+00,   -3.0071587563e+00,    8.8135309219e+00,    8.0161743164e+00,
    3.6199998856e-01,   -1.7589340210e+00,   -1.1565952301e+00,    1.2346355438e+01,    1.2220932007e+01,
    3.6399999261e-01,    2.0734446049e+00,    2.2720372677e+00,    1.1927498817e+01,    1.2193841934e+01,
    3.6700001359e-01,    9.0384721756e+00,    8.7462272644e+00,    7.9971017838e+00,    8.6277732849e+00,
    3.6899998784e-01,    1.3553451538e+01,    1.3077745438e+01,    4.0720853806e+00,    4.7490091324e+00,
    3.7200000882e-01,    1.9097040176e+01,    1.8608005524e+01,   -1.9499307871e+00,   -1.5040491819e+00,
    3.7400001287e-01,    2.1267438889e+01,    2.0935487747e+01,   -5.0613160133e+00,   -4.9291648865e+00,
